Scientific name,#occurrences
Ogmodontomys sawrockensis,105
Psammomys obesus,105
Mesocricetus auratus,104
Microtus gregalis,104
Mus spicilegus,104
Rousettus aegyptiacus,104
Sigmodon planifrons,104
Akodon longipilis,103
Allactaga sibirica,103
Cimexomys hausoi,103
Eligmodontia morgani,103
Grampus griseus,103
Rhogeessa parvula,103
Taphozous melanopogon,103
Glasbius twitchelli,102
Nanodelphys californicus,102
Peridiomys halis,102
Thylogale billardierii,102
Capromys pilorides,101
Dobsonia praedatrix,101
Hesperolagomys galbreathi,101
Microtus paroperarius,101
