Scientific Name,#Occurrences
reithrodontomys sumichrasti,180
sylvilagus bachmani,179
tamias umbrinus,179
crypholestes vaughni,178
dipodomys californicus,178
dobsonia moluccensis,178
hypsugo hesperus,178
ptenochirus minor,177
shoshonius sp,177
lonchophylla robusta,176
mops condylurus,176
peromyscus melanurus,176
ammospermophilus harrisii,175
ototylomys phyllotis,175
phyllotis magister,175
calomys sorellus,174
geomyoid sp,174
plagiodontia aedium,174
carollia sp.,173
carpolestes nigridens,173
platyrrhinus dorsalis,173
apodemus peninsulae,172
tamias sibiricus,172
felis silvestris,171
myotis sp,171
oreamnos americanus,171
capra hircus,170
jaculus jaculus,170
thylamys venustus,170
camelops minidokae,169
hyracotherium angustidens,169
sorex unguiculatus,169
calomys boliviae,168
lasiurus ega,167
leptonycteris yerbabuenae,167
stockoceros conklingi,167
camelops hesternus,166
crocuta crocuta,166
platyrrhinus vittatus,166
scotophilus nigrita,166
microsyops alfi,165
microtus canicaudus,165
pan troglodytes,165
uroderma magnirostrum,165
clethrionomys rutilus,164
epomophorus wahlbergi,164
cricetulus longicaudatus,163
microtus quasiater,163
eligmodontia moreni,162
merycoidodon culbertsoni,162
phodopus roborovskii,162
microtus agrestis,161
teleoceras major,161
eschrichtius robustus,160
heptodon sp,160
lissodelphis borealis,160
oryzomys alfaroi,160
ectypodus powelli,159
miniopterus australis,158
necromys lenguarum,158
ovibos moschatus,156
talpa europaea,156
arvicola riparia,155
geomys arenarius,155
geomys attwateri,155
leptomeryx speciosus,155
peromyscus simulus,155
plecotus rafinesquii,155
rattus fuscipes,155
didelphis albiventris,154
epomophorus labiatus,154
geringia copiosus,154
meniscotherium tapiacetum,154
sespedectes singularis,154
stenella coeruleoalba,154
ctenomys haigi,153
haplomylus speirianus,153
lonchorhina aurita,153
sciuravus powayensis,153
equus simplicidens,152
pliohippus interpolatus,152
sturnira bidens,152
sorex preblei,151
sylvilagus palustris,151
arborimus albipes,150
brontotheriid sp,150
merycodus furcatus,150
microtus kikuchii,150
miospermophilus wyomingensis,150
soriculus fumidus,150
oreolagus wallacei,149
spermophilus tereticaudus,149
mustela putorius,148
saguinus geoffroyi,147
ptilodus sp,146
tamias sp.,146
artibeus anderseni,145
desmostylus hesperus,145
dipodomys microps,145
marmota sp,145
pediomys cooki,145
rhinolophus simulator,145
akodon aerosus,144
ametrida centurio,144
borophagus cyonoides,144
felis atrox,144
monophyllus plethodon,144
pteronotus quadridens,144
thomomys townsendii,144
paramys sp,143
protungulatum donnae,143
trachops cirrhosus,143
akodon fumeus,142
crocidura pullata,142
hyopsodus uintensis,142
metachirus nudicaudatus,142
oryzomys perenensis,142
centetodon sp,141
molossus coibensis,141
omomys carteri,141
aepyceros melampus,140
cloeotis percivali,140
micoureus demerarae,140
monodelphis domestica,140
shoshonius cooperi,140
spermophilus undulatus,140
akodon puer,139
cavia porcellus,139
coryphodon sp,139
myotis levis,139
spermophilus saturatus,139
cimolomys gracilis,138
globicephala macrorhynchus,138
glossotherium harlani,138
hylaeamys yunganus,138
pediomys hatcheri,138
scenopagus edenensis,138
sciuravus eucristadens,138
sorex sonomae,138
cynomys mexicanus,137
lasiurus blossevillii,137
mesomys hispidus,137
platygonus compressus,137
tylonycteris pachypus,137
carollia sowelli,136
dipodomys elephantinus,136
lemmus lemmus,136
nectomys squamipes,136
choloepus hoffmanni,135
hyopsodus loomisi,134
ochotona hyperborea,134
chiroderma villosum,133
ectocion sp,133
kogia breviceps,133
myotis fortidens,133
spermophilus franklinii,133
sylvilagus sp.,133
eumops glaucinus,132
mastomys coucha,132
molossus rufus,132
myotis leibii,132
pediomys florencae,132
tamandua tetradactyla,132
absarokius sp,131
callosciurus notatus,131
copemys russelli,131
peromyscus ochraventer,131
triaenops persicus,131
chinchilla lanigera,130
phyllostomus elongatus,130
protungulatum sp,130
sorex obscurus,130
vulpes macrotis,130
idionycteris phyllotis,129
macaca mulatta,129
microtus terraenovae,129
microtus/pedomys sp,129
orthaspidotherium edwardsi,129
peromyscus yucatanicus,129
phyllops falcatus,129
sigmodon alleni,129
melonycteris melanops,128
oryzomys capito,128
oxymycterus rufus,128
platyrrhinus brachycephalus,128
abrothrix andinus,127
arapahovius gazini,127
hipposideros ruber,127
liomys salvini,127
nannodectes gazini,127
peridiomys sp,127
dipodomys phillipsii,126
entoptychus wheelerensis,126
eumys brachyodus,126
hyperacrius wynnei,126
akodon varius,125
corynorhinus mexicanus,125
promerycochoerus superbus,125
bison priscus,124
crocidura grayi,124
diacodexis secans-secans,124
geomys personatus,124
leptonycteris curasoae,124
macropus rufus,124
physeter catodon,124
rousettus angolensis,124
taphozous theobaldi,124
microryzomys minutus,123
nannodectes intermedius,123
nasua nasua,123
panthera tigris,123
cryptotis nigrescens,122
cylindrodon sp,122
hemiauchenia macrocephala,122
neotoma sp.,122
nyctitherium serotinum,122
pipistrellus tenuis,122
rattus everetti,122
ctenomys sociabilis,121
paramys adamus,121
rattus tunneyi,121
sciurus variegatoides,121
corynorhinus rafinesquii,120
eumys elegans,120
pleuraspidotherium aumoneri,120
calomys lepidus,118
cynopterus sphinx,118
